RMD
SHPG
SIRO
ONCE
STJ
STE
SYK
TARO
TFX
TEVA
THOR
USPH
RARE
UTHR
UNH
UHS
UTMD
VRX
VAR
VRTX
WBA
WCG
ZBH
ZSPH
WUBA
ADBE
ALTR
AMBA
DOX
ADI
ANSS
AAPL
ANET
ASML
ADSK
ADP
AVGO
BIDU
BLKB
BRCM
CACI
CAVM
CERN
CHKP
CTXS
CTSH
CSC
CSRE
CW
TRAK
DOV
DST
ETN
EA
ELLI
EPAM
PLUS
FFIV
FB
FDS
FSLR
FISV
FLTX
GOOG
GOOGL
GWRE
HUBS
IHS
ITW
IMPV
IBM
INTU
IPGP
JCOM
JKHY
LLL
LRCX
LDOS
LECO
LNKD
LOGM
LXFT
MANH
MAN
MSFT
MSTR
MPWR
MSI
N
NICE
NVEC
NXPI
OMC
OSIS
PANW
PNR
POWI
PFPT
QIHU
QRVO
QCOM
RHT
RHI
CRM
SNDK
SAP
NOW
SLAB
SWKS
SOHU
SWI
SLH
SPLK
SPSC
SSNC
SXI
SYNA
SNX
SNPS
DATA
TMH
TECD
TNC
TXN
MIDD
ULTI
TRIP
TYL
URI
VRSN
VRSK
VSAT
VRTU
VMW
WDC
WDAY
WPPGY
YY
ZBRA
MMM
ABBV
ABMD
ACHC
ADPT
AET
AGIO
ALXN
ALGN
ALKS
AGN
ALNY
ABC
AMGN
AMSG
AMSGP
ANAC
ANTM
ATRI
BDX
BIIB
BMRN
BSTC
TECH
BLUE
BMY
BCR
CMN
CAH
CELG
CNC
CRL
CHE
CBPO
CI
CLVS
COO
CVS
CYBX
DVA
XRAY
DXCM
RDY
EGRX
EW
LLY
ENDP
ESRX
GLPG
GILD
GWPH
HCA
HNT
HSIC
HLF
HRC
HUM
ICLR
ICUI
IDXX
INCY
ICPT
ITCI
ISRG
IPCM
ISIS
JAZZ
JNJ
JUNO
KITE
KYTH
LH
LPNT
LGND
LUX
MGLN
MNK
MCK
MD
MDT
MRK
MOH
NHC
NEOG
NBIX
NVRO
NVS
NVO
NUVA
OPHT
PCRX
PRXL
PRGO
PRTA
PBYI
DGX
Q
RDUS
RCPT
REGN
