RVNC
SAGE
SNY
SRPT
SGEN
MCRB
SNN
SCAI
THC
TSRO
ENSG
MDCO
VASC
WX
ZLTQ
ZTS
JOBS
ATVI
AER
AL
AHS
ARMH
ARRS
ASMI
AZPN
ATHM
AVOL
BBSI
BNFT
BITA
BKFS
EPAY
BSFT
CA
CCMP
CEVA
CVR
CRUS
CSCO
CCOI
COMM
CVLT
CPSI
CTCT
CVG
CLGX
CSOD
CRAY
CRTO
CSGS
CVT
CYBR
DWRE
DMRC
DLB
EBIX
SATS
EFII
EMC
FIT
FORTY
FTNT
FSL
GIMO
GLOB
GDDY
HSII
AWAY
IMS
INFA
IM
IPHI
NSP
IDTI
INTC
ININ
INXN
JBT
JNPR
KAI
KFRC
KFY
KYO
LXK
LTRPA
LTRPB
LLTC
LORL
MTSI
MKTO
MXIM
MGRC
MDAS
MDSO
MLNX
MENT
MCHP
MSCC
MBLY
TYPE
NATI
NTAP
NTCT
NEWR
NVDA
OMCL
OVTI
ASGN
OTEX
ORCL
PAYC
PCTY
PEGA
PLXS
PTC
QTWO
QADA
QLIK
QLYS
RAX
SABR
SCSC
SAIC
STX
SHOP
SSTK
SILC
SIMO
SINA
SPW
SPWR
SMCI
SYKE
SNCR
SYNT
TTWO
TTEC
TDC
TSRA
TBI
TCX
TWTR
UBNT
VEEV
VRNT
XLNX
YHOO
YOKU
ABT
ACAD
XLRN
ACET
ACOR
ADRO
AERI
AKRX
ALDR
ALR
AFAM
AMAG
AMED
ASEI
ANIP
ANIK
ANTX
AZN
ATRA
BXLT
BAX
BRLI
CBM
CTLT
CLLS
CLTX
CYAD
CEMP
CMRX
CIVI
CHRS
CYH
CNMD
CYNO
DBVT
DERM
DPLO
DYAX
DVAX
EBS
ENTA
EVHC
ESPR
FGEN
FPRX
FMS
GHDX
GSK
GMED
GRFS
HAE
HYH
HCSG
HLS
HTWR
HRTX
HSKA
HOLX
IPXL
INCR
INGN
PODD
INSY
XON
IRMD
LJPC
LCI
LDRH
LHCG
LOXO
MGNX
MASI
MDVN
MR
MRTX
MSA
MYL
MYGN
NRCIB
BABY
NLNK
OFIX
OTIC
OMI
PDCO
PFE
PMC
PAHC
PTLA
PRAH
PBH
PTCT
QGEN
RGEN
